"0.475","0.36","0.12","0.5915","0.3245","0.11","0.127","6"
"0.48","0.375","0.115","0.6765","0.3205","0.1065","0.17","6"
"0.48","0.385","0.145","0.64","0.2925","0.1405","0.1575","6"
"0.48","0.36","0.1","0.439","0.194","0.099","0.115","8"
"0.48","0.365","0.12","0.6015","0.312","0.117","0.14","7"
"0.485","0.37","0.115","0.4785","0.1995","0.0955","0.129","7"
"0.49","0.385","0.125","0.649","0.32","0.124","0.1695","8"
"0.495","0.395","0.135","0.6335","0.3035","0.1295","0.1495","8"
"0.495","0.4","0.135","0.61","0.272","0.1435","0.144","7"
"0.5","0.39","0.135","0.6595","0.3145","0.1535","0.1565","6"
"0.5","0.385","0.12","0.56","0.2835","0.103","0.135","8"
"0.5","0.385","0.135","0.6425","0.3195","0.129","0.1535","7"
"0.5","0.4","0.125","0.6725","0.336","0.12","0.1825","7"
"0.505","0.39","0.13","0.674","0.3165","0.141","0.1785","9"
"0.505","0.39","0.15","0.685","0.362","0.131","0.156","8"
"0.505","0.41","0.125","0.642","0.289","0.133","0.155","9"
"0.505","0.355","0.125","0.601","0.25","0.1205","0.185","8"
"0.51","0.39","0.135","0.769","0.3935","0.1455","0.19","8"
"0.51","0.375","0.1","0.5785","0.238","0.1225","0.175","7"
"0.51","0.405","0.135","0.769","0.3655","0.1585","0.18","7"
"0.51","0.405","0.15","0.7035","0.347","0.134","0.1885","8"
"0.51","0.41","0.145","0.796","0.3865","0.1815","0.1955","8"
"0.515","0.43","0.14","0.834","0.367","0.2","0.23","8"
"0.515","0.39","0.155","0.7125","0.3695","0.137","0.155","7"
"0.525","0.415","0.14","0.724","0.3475","0.173","0.175","8"
"0.525","0.4","0.14","0.7325","0.334","0.1575","0.17","11"
"0.53","0.425","0.13","0.7585","0.325","0.197","0.205","8"
"0.53","0.425","0.15","0.8495","0.328","0.232","0.202","8"
"0.53","0.405","0.125","0.6515","0.2715","0.1605","0.186","7"
"0.535","0.4","0.135","0.8215","0.3935","0.196","0.205","8"
"0.535","0.43","0.14","0.7165","0.2855","0.1595","0.2155","8"
"0.535","0.435","0.14","0.874","0.3735","0.229","0.2195","8"
"0.55","0.445","0.155","0.9905","0.544","0.178","0.218","9"
"0.55","0.43","0.14","0.8105","0.368","0.161","0.275","9"
"0.56","0.455","0.16","0.967","0.4525","0.207","0.274","9"
"0.565","0.4","0.13","0.6975","0.3075","0.1665","0.18","8"
"0.57","0.45","0.155","1.195","0.5625","0.2565","0.295","10"
"0.57","0.45","0.155","1.1935","0.513","0.21","0.343","10"
"0.57","0.455","0.15","1.107","0.54","0.255","0.27","8"
"0.57","0.445","0.14","1.0635","0.5265","0.2195","0.24","8"
"0.57","0.46","0.17","0.9035","0.4075","0.1935","0.214","7"
"0.575","0.475","0.16","1.114","0.4955","0.2745","0.29","9"
"0.575","0.46","0.16","1.103","0.538","0.221","0.249","9"
"0.58","0.46","0.15","1.1155","0.5575","0.2255","0.29","7"
"0.58","0.46","0.18","1.0515","0.4095","0.2595","0.276","8"
"0.58","0.455","0.15","1.012","0.4985","0.2115","0.2835","10"
"0.58","0.45","0.145","1.137","0.5585","0.22","0.29","8"
"0.58","0.49","0.13","1.1335","0.586","0.2565","0.237","9"
"0.59","0.465","0.155","1.136","0.5245","0.2615","0.275","11"
"0.59","0.47","0.16","1.206","0.479","0.2425","0.309","8"
"0.59","0.455","0.145","1.063","0.5155","0.2445","0.25","8"
"0.595","0.47","0.155","1.121","0.4515","0.178","0.155","11"
"0.595","0.45","0.15","1.114","0.5865","0.2205","0.25","11"
"0.595","0.475","0.165","1.213","0.621","0.2435","0.274","9"
"0.595","0.46","0.14","1.0045","0.4655","0.2095","0.2515","9"
"0.595","0.455","0.15","1.044","0.518","0.2205","0.27","9"
"0.605","0.49","0.15","1.1345","0.5265","0.2645","0.295","9"
"0.605","0.475","0.155","1.161","0.572","0.2455","0.275","9"
"0.605","0.47","0.165","1.2315","0.6025","0.262","0.2925","11"
"0.61","0.47","0.15","1.1625","0.565","0.258","0.3085","11"
"0.61","0.475","0.155","1.168","0.554","0.239","0.3295","10"
"0.615","0.48","0.16","1.2525","0.585","0.2595","0.33","8"
"0.62","0.51","0.18","1.3315","0.594","0.276","0.388","11"
"0.625","0.48","0.17","1.3525","0.6235","0.278","0.365","10"
"0.625","0.49","0.175","1.3325","0.5705","0.271","0.405","10"
"0.625","0.475","0.175","1.1435","0.4755","0.2475","0.349","10"
"0.625","0.5","0.165","1.288","0.573","0.3035","0.315","9"
"0.625","0.485","0.2","1.38","0.5845","0.302","0.401","9"
"0.63","0.485","0.155","1.278","0.637","0.275","0.31","8"
"0.63","0.495","0.165","1.3075","0.599","0.284","0.315","11"
"0.63","0.48","0.15","1.1785","0.5185","0.248","0.3235","8"
"0.635","0.49","0.175","1.375","0.623","0.2705","0.395","11"
"0.635","0.525","0.185","1.4065","0.684","0.3","0.3745","10"
"0.64","0.505","0.155","1.4025","0.705","0.2655","0.335","10"
"0.64","0.5","0.17","1.5175","0.693","0.326","0.409","11"
"0.64","0.5","0.175","1.394","0.4935","0.291","0.4","10"
"0.645","0.5","0.155","1.2205","0.6145","0.236","0.3185","10"
"0.645","0.52","0.175","1.636","0.779","0.342","0.432","11"
"0.645","0.52","0.175","1.561","0.709","0.3555","0.4","8"
"0.645","0.505","0.165","1.4325","0.684","0.308","0.336","8"
"0.645","0.5","0.175","1.3385","0.633","0.299","0.349","11"
"0.645","0.5","0.16","1.2465","0.5475","0.327","0.3","10"
"0.645","0.515","0.15","1.212","0.515","0.2055","0.385","10"
"0.65","0.495","0.16","1.304","0.57","0.312","0.3725","9"
"0.65","0.52","0.21","1.6785","0.6665","0.308","0.46","11"
"0.65","0.525","0.185","1.622","0.6645","0.3225","0.477","10"
"0.655","0.46","0.16","1.494","0.6895","0.331","0.1825","9"
"0.655","0.51","0.175","1.6525","0.8515","0.3365","0.403","10"
"0.66","0.505","0.185","1.528","0.69","0.3025","0.441","11"
"0.66","0.535","0.19","1.5905","0.6425","0.297","0.5175","9"
"0.66","0.495","0.195","1.6275","0.594","0.3595","0.485","10"
"0.66","0.475","0.18","1.3695","0.641","0.294","0.335","6"
"0.67","0.525","0.165","1.6085","0.682","0.3145","0.4005","11"
"0.675","0.57","0.225","1.587","0.739","0.2995","0.435","10"
"0.675","0.565","0.195","1.8375","0.7645","0.3615","0.553","12"
"0.68","0.535","0.185","1.607","0.7245","0.3215","0.498","12"
"0.69","0.525","0.175","1.7005","0.8255","0.362","0.405","8"
"0.69","0.505","0.2","1.872","0.893","0.4015","0.48","10"
"0.695","0.535","0.175","1.8385","0.8035","0.396","0.503","10"
